key,time,all_swamps___alg_sample,all_swamps___total_rabbits,all_swamps___total_rabbits_per_wolves,all_swamps___total_wolves,blue_swamp___rabbits,blue_swamp___rabbits_per_wolves,blue_swamp___wolves,green_swamp___rabbits,green_swamp___rabbits_per_wolves,green_swamp___wolves,ratio
0-0,98,15,355.5706188431,12.1410832545,29.2865645832,355.4586327375,36.4174355382,9.7606717081,0.1119861024,0.0057352615,19.5258928751,12.1410832545
0-0,99,15,460.388682464,17.8481683498,25.7947299375,460.2953522927,46.9884306359,9.7959294674,0.093330168,0.0058335728,15.9988004701,17.8481683498
0-0,100,15,585.8094684078,24.8975922231,23.5287598559,585.7166482533,56.2111286171,10.4199410804,0.0928201513,0.0070807411,13.1088187755,24.8975922231
0-1,0,15,400,5.7142857143,70,300,30,10,100,1.6666666667,60,5.7142857143
0-1,1,15,341.7500833023,5.5560977687,61.5090118157,331.7557393828,33.1353002608,10.0121543119,9.9943439196,0.1940767729,51.4968575037,5.5560977687
0-1,2,15,366.5851356649,6.7583964489,54.241437068,365.0636373192,35.8256270378,10.1900138952,1.5214983457,0.0345391417,44.0514231728,6.7583964489
0-1,3,15,396.4981795118,8.224361968,48.2102053694,396.1651092602,37.5820918087,10.5413267382,0.3330702516,0.0088420538,37.6688786312,8.224361968
0-1,4,15,420.2707679545,9.7132734976,43.2676757282,420.1712673585,37.9955665401,11.0584288016,0.099500596,0.0030891935,32.2092469266,9.7132734976
0-1,5,15,432.1099035297,11.0096468847,39.2482981566,432.071123907,36.9047925783,11.7077239492,0.0387796227,0.0014080906,27.5405742074,11.0096468847
0-1,6,15,428.512785238,11.912897348,35.9704925443,428.4938089449,34.4948633521,12.4219598892,0.0189762931,0.0008058376,23.5485326551,11.912897348
0-1,7,15,409.4369255126,12.3178176092,33.2394047795,409.4256491104,31.2436403466,13.1042876108,0.0112764021,0.0005600366,20.1351171687,12.3178176092
0-1,8,15,378.6153046798,12.266332891,30.8662179677,378.6073930302,27.7373284173,13.64974259,0.0079116496,0.0004595395,17.2164753778,12.266332891
0-1,9,15,342.080014492,11.9201420979,28.6976456893,342.0736241322,24.4744752371,13.9767500965,0.0063903597,0.0004341013,14.7208955928,11.9201420979
0-1,10,15,305.8188900806,11.4807896164,26.637443965,305.8130521609,21.7654529906,14.0503876622,0.0058379195,0.0004638034,12.5870563029,11.4807896164
0-1,11,15,274.1071750122,11.1212742673,24.6471014404,274.1012583805,19.7414179357,13.8845780619,0.0059166314,0.0005497439,10.7625233785,11.1212742673
0-1,12,15,249.1538148028,10.961715792,22.7294539952,249.147261453,18.4185272434,13.5269914994,0.0065533495,0.00071213,9.2024624959,10.961715792
0-1,13,15,231.6288055418,11.0785399455,20.9078819665,231.6209728981,17.7632386515,13.0393436379,0.0078326433,0.0009954382,7.8685383286,11.0785399455
0-1,14,15,221.3913304017,11.5245000277,19.2104932856,221.3813411068,17.7353062163,12.4825214974,0.0099892945,0.0014847408,6.7279717883,11.5245000277
0-1,15,15,218.0395415757,12.3452226385,17.6618557608,218.0260750339,18.3074870603,11.9091208049,0.0134665414,0.0023408938,5.752734956,12.3452226385
0-1,16,15,221.2037443977,13.5870318196,16.2805053624,221.1847064052,19.4676709754,11.361641908,0.0190379921,0.0038704047,4.9188634544,13.5870318196
0-1,17,15,230.6444122554,15.2952869356,15.0794433099,230.616383051,21.208879593,10.8735768922,0.0280292042,0.0066643116,4.2058664178,15.2952869356
0-1,18,15,246.2150284082,17.5018149809,14.0679711605,246.1723029919,23.508235059,10.4717475546,0.0427254162,0.0118806339,3.5962236059,17.5018149809
0-1,19,15,267.7172989583,20.1995153399,13.2536496274,267.6502101449,26.2951403676,10.1786948616,0.0670888134,0.0218178212,3.0749547658,20.1995153399
0-1,20,15,294.6564766539,23.304443718,12.6437893227,294.5484228302,29.4120840872,10.0145376287,0.108053824,0.0410967973,2.629251694,23.304443718
0-1,21,15,325.8995468516,26.6128626456,12.2459410396,325.7216973986,32.5794112432,9.9977772762,0.1778494539,0.0791087628,2.2481637634,26.6128626456
0-1,22,15,359.2862522069,29.7751059161,12.0666657986,358.9880345005,35.3880242305,10.144336744,0.2982177076,0.1551335381,1.9223290545,29.7751059161
0-1,23,15,391.3465713913,32.3225138054,12.107553693,390.8385083263,37.3514585074,10.4638084815,0.5080630664,0.3090886975,1.6437452115,32.3225138054
0-1,24,15,417.4193228107,33.7780916833,12.3576940558,416.5419433854,38.0329942692,10.9521206886,0.8773794273,0.6242146072,1.4055733672,33.7780916833
0-1,25,15,432.5261177438,33.8355653434,12.7831798687,430.9932875535,37.2148809349,11.5812082889,1.5328301936,1.2752632586,1.2019715798,33.8355653434
0-1,26,15,433.0774230524,32.5179361603,13.3181091481,430.3728019341,35.017685195,12.290155661,2.7046211232,2.6310734456,1.0279534871,32.5179361603
0-1,27,15,418.7797239953,30.2025721962,13.865697308,413.9668784222,31.8768855474,12.9864279811,4.8128455788,5.4736875626,0.8792693269,30.2025721962
0-1,28,15,393.5136425497,27.486591287,14.3165676108,384.8870357708,28.3750848621,13.564260253,8.626606786,11.4668648351,0.7523073578,27.486591287
0-1,29,15,364.4774962862,24.9992145177,14.5795579309,348.9192549228,25.0380793277,13.9355439511,15.5582413733,24.1582354779,0.6440139797,24.9992145177
0-1,30,15,340.4301095048,23.3047051649,14.6077844408,312.2224516891,22.2128302566,14.0559509114,28.2076578307,51.1162448948,0.5518335294,23.3047051649
0-1,31,15,330.821925326,22.9659495032,14.4048877788,279.4510533395,20.0593408774,13.9312181316,51.3708720081,108.4529530543,0.4736696472,22.9659495032
0-1,32,15,347.0798826724,24.7698070165,14.0122158579,253.1700140134,18.6095020115,13.604341151,93.9098686803,230.2419519876,0.4078747069,24.7698070165
0-1,33,15,406.4942062065,30.1351027264,13.4890599145,234.2759321568,17.8349511276,13.1357765144,172.218274071,487.4791003506,0.3532834001,30.1351027264
0-1,34,15,539.3732947889,41.8226857451,12.8966680446,222.7281585794,17.6946077548,12.5873464767,316.6451362309,1023.6762292888,0.3093215679,41.8226857451
0-1,35,15,801.5171317316,65.2183013882,12.2897578543,218.1421145176,18.1581204359,12.013474373,583.3750172354,2111.5088545812,0.2762834813,65.2183013882
