key,time,all_swamps___total_rabbits
0-2,509,187.231904353
0-2,510,169.738341186
0-2,511,154.12880421
0-2,512,140.821764493
0-2,513,129.954615298
0-2,514,121.482159884
0-2,515,115.26745207
0-2,516,111.146865068
0-2,517,108.969569641
0-2,518,108.617620729
0-2,519,110.013397275
0-2,520,113.119294696
0-2,521,117.93182545
0-2,522,124.471087505
0-2,523,132.765515568
0-2,524,142.830468305
0-2,525,154.639392096
0-2,526,168.085408341
0-2,527,182.934578827
0-2,528,198.773102432
0-2,529,214.957772868
0-2,530,230.586111361
0-2,531,244.510504565
0-2,532,255.425245226
0-2,533,262.049338494
0-2,534,263.382433007
0-2,535,258.977845818
0-2,536,249.122585622
0-2,537,234.827368044
0-2,538,217.605834837
0-2,539,199.128230042
0-2,540,180.891143263
0-2,541,164.013654496
0-2,542,149.186701317
0-2,543,136.733851248
0-2,544,126.719900064
0-2,545,119.058649443
0-2,546,113.599301422
0-2,547,110.179314136
0-2,548,108.658690461
0-2,549,108.934705784
0-2,550,110.945011832
0-2,551,114.667025995
0-2,552,120.109927327
0-2,553,127.303242272
0-2,554,136.280455535
0-2,555,147.056122443
0-2,556,159.595558059
0-2,557,173.776065686
0-2,558,189.341172694
0-2,559,205.853478649
0-2,560,222.658409681
0-2,561,238.880019704
0-2,562,253.478366838
0-2,563,265.399373303
0-2,564,273.832013562
0-2,565,278.550979745
0-2,566,280.274502254
0-2,567,280.94434082
0-2,568,283.877403088
0-2,569,293.847340967
0-2,570,317.273007136
0-2,571,362.747303462
0-2,572,442.131140268
0-2,573,572.422312575
0-2,574,778.66166276
0-2,575,1098.28945644
0-2,576,1587.59660054
0-2,577,2331.23076339
0-2,578,3455.95263905
0-2,579,5149.40117772
0-2,580,7679.50190918
0-2,581,11369.9083329
0-2,582,16107.2550142
0-2,583,16497.9161069
0-2,584,4046.05169828
0-2,585,477.963512292
0-2,586,183.454849272
0-2,587,167.94780422
0-2,588,179.014673314
0-2,589,194.10125976
0-2,590,210.169961578
0-2,591,226.053084292
0-2,592,240.612054442
0-2,593,252.562538406
0-2,594,260.589089026
0-2,595,263.577183806
0-2,596,260.889680723
0-2,597,252.58597015
0-2,598,239.475158596
0-2,599,222.953621455
0-2,600,204.682266521
0-2,601,186.237357336
0-2,602,168.862368369
0-2,603,153.373664658
0-2,604,140.194350831
0-2,605,129.454338148
0-0,606,331.248350098
0-0,607,329.168408471
0-0,608,415.377414669
0-0,609,519.98536964
0-0,610,609.131802972
0-0,611,636.298680785
0-0,612,573.004970882
0-0,613,449.31447626
0-0,614,326.14595992
0-0,615,236.912702072
0-0,616,182.579827535
0-0,617,153.798950237
0-0,618,142.80402942
0-0,619,145.557918977
0-0,620,161.143431331
0-0,621,191.055360208
0-0,622,238.68225263
0-0,623,308.456601942
0-0,624,403.594267226
0-0,625,521.022041545
0-0,626,644.276119476
0-0,627,745.545199781
0-0,628,822.298804246
0-0,629,965.034384866
0-0,630,1393.56276616
0-0,631,2492.89407124
0-0,632,4988.41406508
0-0,633,10240.5432871
0-0,634,19032.5451435
0-0,635,11908.9837597
0-0,636,872.597058843
0-0,637,230.119332985
0-0,638,229.708130983
0-0,639,286.934689137
0-0,640,370.363745656
0-0,641,472.735626415
0-0,642,574.306020823
0-0,643,634.764766243
0-0,644,611.626282597
0-0,645,507.349174473
0-0,646,377.391747557
0-0,647,271.660254538
0-0,648,202.937021638
0-0,649,164.115755826
0-0,650,146.12817593
0-0,651,143.377420769
0-0,652,153.816036421
0-0,653,178.245500056
0-0,654,219.922671781
0-0,655,284.337972906
0-0,656,378.57516472
0-0,657,509.42032337
0-0,658,680.562909824
0-0,659,896.569977073
0-0,660,1199.47030397
0-0,661,1767.35813463
0-0,662,3052.28676612
0-0,663,5949.80252468
0-0,664,11989.5370134
0-0,665,20502.0660814
0-0,666,7294.46089044
0-0,667,519.887402669
0-0,668,177.931494949
0-0,669,172.48285713
0-0,670,203.84709138
0-0,671,255.968940197
